sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,28-2-2023_16:3:23:442849,paved,uniform-accel,-0.14100175,-2.61833286,-1.50157165,-0.08710720,-0.00549924,-0.00472452,-104.68215942,92.77894592,85.08538055,0
2,28-2-2023_16:3:23:832886,paved,uniform-accel,-0.25596446,-1.26752114,-0.61061096,-0.07618808,0.00249036,-0.00365924,-104.68215942,92.77894592,85.08538055,0
3,28-2-2023_16:3:23:848095,paved,uniform-accel,-0.31344580,-0.22327673,1.20005035,-0.05994254,0.00302300,0.00166716,-104.68215942,97.66204833,79.14918518,0
4,28-2-2023_16:3:23:848095,paved,uniform-accel,0.08892363,-2.55127120,-2.80448150,-0.10122216,-0.00549924,-0.00179500,-104.68215942,97.66204833,79.14918518,0
5,28-2-2023_16:3:23:856094,paved,uniform-accel,-0.72539544,-0.62564616,-0.05495644,-0.07379119,0.00462092,0.00459669,-104.68215942,92.77894592,83.10664367,0
6,28-2-2023_16:3:23:872091,paved,uniform-accel,0.08892363,-1.08549690,-0.13159942,-0.07885128,0.00035980,0.00033556,-104.68215942,92.77894592,83.10664367,0
7,28-2-2023_16:3:23:872091,paved,uniform-accel,0.20388631,-2.61833286,-2.90986442,-0.10361905,-0.00177076,-0.00578980,-103.88306427,97.66204833,85.08538055,0
8,28-2-2023_16:3:23:880091,paved,uniform-accel,-0.49547004,0.62936329,1.13298988,-0.04476229,0.00808308,0.00299876,-103.88306427,97.66204833,85.08538055,0
9,28-2-2023_16:3:23:888089,paved,uniform-accel,-0.37092714,-1.06633639,0.28034973,-0.06180678,0.00249036,-0.00259396,-106.28036499,92.77894592,87.06410980,0
10,28-2-2023_16:3:23:904106,paved,uniform-accel,-0.29428534,-0.98011455,-2.18176651,-0.09429784,-0.00150444,-0.00365924,-106.28036499,92.77894592,87.06410980,0
11,28-2-2023_16:3:23:960131,paved,uniform-accel,-0.11226106,0.27489495,2.27303886,-0.03064733,0.00515356,0.00219980,-104.68215942,87.89584350,79.14918518,0
12,28-2-2023_16:3:24:8088,paved,uniform-accel,0.08892363,-1.55492782,-0.43816566,-0.06233942,0.00435460,0.00166716,-104.68215942,87.89584350,79.14918518,0
13,28-2-2023_16:3:24:64071,paved,uniform-accel,-0.50505027,-1.48786640,-3.29307365,-0.07751967,-0.00043916,0.00113452,-105.48126220,97.66204833,81.12792205,0
14,28-2-2023_16:3:24:112113,paved,uniform-accel,-0.83077793,0.47607965,1.32459449,-0.04609389,0.00488724,0.00672725,-105.48126220,97.66204833,81.12792205,0
15,28-2-2023_16:3:24:168059,paved,uniform-accel,-0.33260626,-1.93813686,-1.36744689,-0.08577560,-0.00443396,-0.00312660,-103.88306427,87.89584350,85.08538055,0
16,28-2-2023_16:3:24:216054,paved,uniform-accel,-0.73497571,0.63894348,1.79402542,-0.04316437,0.01181156,0.00725989,-103.88306427,87.89584350,85.08538055,0
17,28-2-2023_16:3:24:272055,paved,uniform-accel,0.12724453,-2.15848207,-1.07046127,-0.08444399,-0.00683085,0.00033556,-106.28036499,87.89584350,83.10664367,0
18,28-2-2023_16:3:24:328038,paved,uniform-accel,-0.46672940,0.15993225,1.08509063,-0.04742549,0.01554005,0.00353140,-106.28036499,87.89584350,83.10664367,0
19,28-2-2023_16:3:24:376039,paved,uniform-accel,-0.06435997,-1.19087934,-1.53031349,-0.10095585,-0.01695101,-0.00578980,-105.48126220,92.77894592,85.08538055,0
20,28-2-2023_16:3:24:424042,paved,uniform-accel,-0.52421069,-0.97053422,0.16538810,-0.06367102,0.00328932,-0.00179500,-105.48126220,92.77894592,85.08538055,0
21,28-2-2023_16:3:24:480030,paved,uniform-accel,-0.87867908,-1.04717612,0.74978256,-0.06367102,0.00062612,0.00166716,-103.88306427,87.89584350,83.10664367,0
22,28-2-2023_16:3:24:528017,paved,uniform-accel,-0.69665479,-1.20045971,-0.27530288,-0.06207310,0.00435460,0.00406405,-103.88306427,87.89584350,83.10664367,0
23,28-2-2023_16:3:24:584037,paved,uniform-accel,-0.63917341,-0.75018911,0.63481903,-0.05408349,0.00222404,0.00140084,-104.68215942,87.89584350,87.06410980,0
24,28-2-2023_16:3:24:632003,paved,uniform-accel,-0.57211184,-2.63749337,-0.43816566,-0.07219327,0.00355564,0.00033556,-104.68215942,87.89584350,87.06410980,0
25,28-2-2023_16:3:24:688038,paved,uniform-accel,0.14640498,-1.75611257,-1.76981735,-0.07538911,0.01074628,-0.00259396,-103.08395385,83.01274108,85.08538055,0
26,28-2-2023_16:3:24:735992,paved,uniform-accel,0.90324268,-2.90573959,-4.34689807,-0.11107602,-0.02254374,-0.00898564,-103.08395385,83.01274108,85.08538055,0
27,28-2-2023_16:3:24:791986,paved,uniform-accel,0.29010834,-0.66396708,-1.92310142,-0.11267393,-0.01162461,-0.00339292,-105.48126220,87.89584350,87.06410980,0
28,28-2-2023_16:3:24:839993,paved,uniform-accel,-0.01645881,-0.27117781,0.81684303,-0.08870512,-0.01322253,-0.00179500,-105.48126220,87.89584350,87.06410980,0
29,28-2-2023_16:3:24:895992,paved,uniform-accel,-0.74455595,0.10245091,1.98563194,-0.03757164,0.00355564,0.00752621,-104.68215942,97.66204833,85.08538055,0
30,28-2-2023_16:3:24:943965,paved,uniform-accel,-0.90741968,0.30363562,1.39165687,-0.02984837,0.01127892,0.00512933,-104.68215942,97.66204833,85.08538055,0
31,28-2-2023_16:3:24:999952,paved,uniform-accel,-0.36134691,0.15035202,1.51620101,-0.07432384,0.00648516,0.00353140,-106.28036499,87.89584350,87.06410980,0
32,28-2-2023_16:3:25:47995,paved,uniform-accel,-0.06435997,-1.22920036,-0.62977027,-0.08311241,-0.00443396,0.00060188,-106.28036499,87.89584350,87.06410980,0
33,28-2-2023_16:3:25:106006,paved,uniform-accel,-0.82119770,-1.00885510,0.16538810,-0.05914358,0.00914836,-0.00179500,-104.68215942,87.89584350,89.04283905,0
34,28-2-2023_16:3:25:154033,paved,uniform-accel,0.01228183,-1.32500267,-2.52665519,-0.09536313,-0.00390132,-0.00765404,-104.68215942,87.89584350,89.04283905,0
35,28-2-2023_16:3:25:202027,paved,uniform-accel,-0.54337120,0.06413001,-1.75065803,-0.08870512,0.01181156,-0.00152868,-103.88306427,83.01274108,85.08538055,0
36,28-2-2023_16:3:25:258018,paved,uniform-accel,-0.62959327,-0.89389247,-0.84053611,-0.10574961,-0.00922773,-0.00365924,-103.88306427,83.01274108,85.08538055,0
37,28-2-2023_16:3:25:314067,paved,uniform-accel,-0.07394016,-0.29991853,-3.36013412,-0.10335273,-0.00629820,-0.00578980,-104.68215942,92.77894592,89.04283905,0
