sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 19:48:45:950192,paved,Safe-no-movement,-0.659123,-0.935415,-0.314354,-0.067412,0.001511,0.000051,-107.776435,87.895851,100.803207,0
2,22-3-2023 19:48:46:346259,paved,Safe-no-movement,-0.553741,-0.868353,-0.735884,-0.068744,0.002577,0.001648,-107.776435,87.895851,100.803207,0
3,22-3-2023 19:48:46:354255,paved,Safe-no-movement,-0.611222,-0.868353,-0.678402,-0.06901,0.00018,0.002714,-107.776435,101.418281,98.787139,0
4,22-3-2023 19:48:46:362253,paved,Safe-no-movement,-0.687864,-0.849193,-0.582602,-0.068744,0.001245,-0.000748,-107.776435,101.418281,98.787139,0
5,22-3-2023 19:48:46:370257,paved,Safe-no-movement,-0.563321,-0.753391,-0.831686,-0.068211,0.001778,-0.001281,-108.631805,101.418281,100.803207,0
6,22-3-2023 19:48:46:378251,paved,Safe-no-movement,-0.525,-1.012057,-0.601761,-0.069543,0.00018,0.001116,-108.631805,101.418281,100.803207,0
7,22-3-2023 19:48:46:378251,paved,Safe-no-movement,-0.400457,-0.820452,-0.611341,-0.070342,0.00018,0.000583,-107.776435,98.037673,100.803207,0
8,22-3-2023 19:48:46:386250,paved,Safe-no-movement,-0.611222,-1.088699,-0.62092,-0.068211,-0.000885,-0.002613,-107.776435,98.037673,100.803207,0
9,22-3-2023 19:48:46:394252,paved,Safe-no-movement,-0.553741,-0.839613,-0.707144,-0.070608,0.000446,0.000317,-109.487167,101.418281,94.755004,0
10,22-3-2023 19:48:46:402248,paved,Safe-no-movement,-0.553741,-0.897094,-0.745464,-0.067679,0.001778,-0.003412,-109.487167,101.418281,94.755004,0
11,22-3-2023 19:48:46:402248,paved,Safe-no-movement,-0.678284,-0.944995,-0.860428,-0.070342,0.00018,0.003513,-110.342544,108.179504,98.787139,0
12,22-3-2023 19:48:46:450252,paved,Safe-no-movement,-0.563321,-0.868353,-0.764624,-0.065814,-0.000885,0.003779,-110.342544,108.179504,98.787139,0
13,22-3-2023 19:48:46:490263,paved,Safe-no-movement,-0.525,-0.868353,-0.611341,-0.067146,-0.000087,0.000317,-107.776435,87.895851,100.803207,0
14,22-3-2023 19:48:46:538245,paved,Safe-no-movement,-0.553741,-0.916255,-0.917908,-0.06901,-0.000619,0.001648,-107.776435,87.895851,100.803207,0
15,22-3-2023 19:48:46:586277,paved,Safe-no-movement,-0.496259,-1.040797,-0.55386,-0.06688,-0.002483,0.000051,-108.631805,98.037673,96.771072,0
16,22-3-2023 19:48:46:626240,paved,Safe-no-movement,-0.525,-0.877934,-0.534698,-0.067412,0.00018,0.00085,-108.631805,98.037673,96.771072,0
17,22-3-2023 19:48:46:674224,paved,Safe-no-movement,-0.697444,-0.983316,-0.802946,-0.069809,-0.001418,-0.001814,-107.776435,94.657066,98.787139,0
