sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,28-2-2023_15:49:11:229189,paved,cons-acc-40,-2.17861032,-0.56106591,-6.17025279,-0.13621956,0.10431654,0.02111653,-103.15751647,97.04424285,91.76358032,0
2,28-2-2023_15:49:11:585986,paved,cons-acc-40,-1.37387132,3.04109859,-0.45085906,-0.03661582,0.01376769,0.01658908,-103.15751647,97.04424285,91.76358032,0
3,28-2-2023_15:49:11:592806,paved,cons-acc-40,0.13980418,-1.19336080,2.26034545,-0.04993184,-0.05627451,-0.00791237,-103.98276519,85.62727355,95.22634887,0
4,28-2-2023_15:49:11:600804,paved,cons-acc-40,0.31224822,-2.39088869,2.03999900,0.00732700,-0.04775227,0.01818700,-103.98276519,85.62727355,95.22634887,0
5,28-2-2023_15:49:11:632802,paved,cons-acc-40,-0.78947758,-3.45429396,-0.96819114,-0.00678797,0.04572610,0.01499116,-105.63329315,97.04424285,96.95774841,0
6,28-2-2023_15:49:11:640799,paved,cons-acc-40,-0.54039182,-3.60757756,-5.53795814,-0.00039629,-0.04295850,0.02511133,-105.63329315,97.04424285,96.95774841,0
7,28-2-2023_15:49:11:648798,paved,cons-acc-40,2.44863843,0.00416732,-6.94625091,-0.03262102,-0.00780425,0.01658908,-106.45854187,91.33575439,98.68912506,0
8,28-2-2023_15:49:11:688794,paved,cons-acc-40,-1.55589556,-1.51908850,1.42686462,-0.00945117,0.01137080,0.03043773,-106.45854187,91.33575439,98.68912506,0
9,28-2-2023_15:49:11:712791,paved,cons-acc-40,-1.79540119,-0.12037564,7.40492630,0.02623573,0.07528764,0.02644293,-103.15751647,79.91878509,98.68912506,0
10,28-2-2023_15:49:11:736787,paved,cons-acc-40,-1.62295713,0.98135013,0.18143653,-0.02995782,0.10484918,0.01579012,-103.15751647,79.91878509,98.68912506,0
11,28-2-2023_15:49:11:752787,paved,cons-acc-40,0.42721090,2.69621038,-0.20177268,0.00226692,-0.03097410,0.02164916,-104.80802917,91.33575439,96.95774841,0
12,28-2-2023_15:49:11:792780,paved,cons-acc-40,2.03668880,-1.59573030,-9.10180187,-0.00678797,-0.00327680,0.03123669,-104.80802917,91.33575439,96.95774841,0
13,28-2-2023_15:49:11:848774,paved,cons-acc-40,-0.00389919,2.94529628,6.51396560,-0.01025013,0.04519347,0.02404605,-103.98276519,97.04424285,98.68912506,0
14,28-2-2023_15:49:11:896769,paved,cons-acc-40,0.41763072,-2.36214828,2.79683685,0.01824613,-0.08370550,0.02431237,-103.98276519,97.04424285,98.68912506,0
15,28-2-2023_15:49:11:952763,paved,cons-acc-40,-1.69959888,-1.96935892,5.88166999,-0.04194223,-0.09302670,0.02058388,-104.80802917,85.62727355,96.95774841,0
16,28-2-2023_15:49:12:8756,paved,cons-acc-40,-0.64577426,2.51418614,-1.60048484,-0.04673599,-0.03416994,0.00753420,-104.80802917,85.62727355,96.95774841,0
17,28-2-2023_15:49:12:57659,paved,cons-acc-40,0.31224822,-0.22575807,4.03268814,-0.04993184,-0.09595623,0.02963877,-105.63329315,97.04424285,95.22634887,0
18,28-2-2023_15:49:12:105695,paved,cons-acc-40,-1.20142734,-2.86990051,2.73935508,-0.00838589,0.01430033,0.01978492,-105.63329315,97.04424285,95.22634887,0
19,28-2-2023_15:49:12:161642,paved,cons-acc-40,-0.54997196,1.95853309,1.26399993,-0.04513807,0.02228993,0.01152900,-104.80802917,91.33575439,96.95774841,0
20,28-2-2023_15:49:12:213365,paved,cons-acc-40,-0.32962682,1.73818802,1.32148361,-0.01291333,-0.07944437,0.01286060,-104.80802917,91.33575439,96.95774841,0
21,28-2-2023_15:49:12:266681,paved,cons-acc-40,1.00202441,-0.83889245,-1.26517868,-0.03821375,-0.00860321,0.00540364,-103.98276519,91.33575439,95.22634887,0
22,28-2-2023_15:49:12:314674,paved,cons-acc-40,-0.83737869,-2.49627137,4.10932731,-0.04860023,-0.05361131,0.02111653,-103.98276519,91.33575439,95.22634887,0
23,28-2-2023_15:49:12:370665,paved,cons-acc-40,0.32182846,-1.71069288,-2.58724784,-0.05818776,-0.09302670,0.00726788,-104.80802917,91.33575439,96.95774841,0
24,28-2-2023_15:49:12:418715,paved,cons-acc-40,0.04400194,1.95853309,0.28681755,-0.00465741,0.06916228,0.00540364,-104.80802917,91.33575439,96.95774841,0
25,28-2-2023_15:49:12:474695,paved,cons-acc-40,0.77209901,0.66520280,4.84700584,0.03209477,0.01509929,0.02377973,-103.98276519,97.04424285,98.68912506,0
26,28-2-2023_15:49:12:522690,paved,cons-acc-40,0.21644597,-0.19701743,-3.28660488,0.00466380,0.03986706,0.00673524,-103.98276519,97.04424285,98.68912506,0
27,28-2-2023_15:49:12:570684,paved,cons-acc-40,1.81634340,-2.42920970,-1.96453475,-0.01797342,0.02521945,0.00087619,-103.98276519,102.75272369,96.95774841,0
28,28-2-2023_15:49:12:626627,paved,cons-acc-40,1.49061584,-2.98486309,1.86755561,0.04993823,-0.06692732,0.01632276,-103.98276519,102.75272369,96.95774841,0
29,28-2-2023_15:49:12:682624,paved,cons-acc-40,0.19728553,-0.17785692,0.28681755,0.02037669,0.09792486,0.01046372,-105.63329315,91.33575439,98.68912506,0
