sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 20:36:23:195027,paved,sudden-acc,0.827185,-1.298233,-1.037582,-0.107122,0.002340,0.008909,-51.480506,-55.337356,53.668373,0
2,22-3-2023 20:36:23:620169,paved,sudden-acc,-0.207479,-2.371219,2.727446,-0.000860,0.038826,0.018763,-51.480506,-55.337356,53.668373,0
3,22-3-2023 20:36:23:627249,paved,sudden-acc,0.309853,0.675293,-0.079559,-0.059185,0.015389,0.020627,-55.770553,-50.725906,53.668373,0
4,22-3-2023 20:36:23:635255,paved,sudden-acc,-0.897255,-3.243019,9.443184,0.061725,-0.058648,0.012904,-55.770553,-50.725906,53.668373,0
5,22-3-2023 20:36:23:651250,paved,sudden-acc,-1.931919,-1.422776,2.037670,0.034027,-0.019499,0.022225,-51.480506,-56.874504,54.835075,0
6,22-3-2023 20:36:23:651250,paved,sudden-acc,1.507381,1.240526,-7.092284,-0.048265,0.069719,0.017165,-51.480506,-56.874504,54.835075,0
7,22-3-2023 20:36:23:659245,paved,sudden-acc,1.890590,0.081319,-0.692694,-0.018438,-0.019765,0.016366,-51.480506,-49.188758,54.835075,0
8,22-3-2023 20:36:23:667246,paved,sudden-acc,-0.312861,-1.786825,1.089226,-0.018970,0.006867,0.033411,-51.480506,-49.188758,54.835075,0
9,22-3-2023 20:36:23:667246,paved,sudden-acc,-0.552367,-1.269493,-0.309484,-0.035748,0.088894,0.030748,-53.625534,-52.263057,53.668373,0
10,22-3-2023 20:36:23:675246,paved,sudden-acc,1.037950,-2.399960,3.704630,-0.035748,0.002606,0.015035,-53.625534,-52.263057,53.668373,0
11,22-3-2023 20:36:23:683243,paved,sudden-acc,-4.298235,-1.183271,0.198267,-0.038412,-0.039473,0.030215,-51.480506,-53.800205,56.001781,0
12,22-3-2023 20:36:23:691248,paved,sudden-acc,-1.366686,-0.292310,-1.516594,-0.079159,-0.001389,0.024356,-51.480506,-53.800205,56.001781,0
13,22-3-2023 20:36:23:739288,paved,sudden-acc,-0.255380,-1.738924,0.495255,0.010858,0.050810,0.022758,-45.045440,-52.263057,53.668373,0
14,22-3-2023 20:36:23:787273,paved,sudden-acc,-2.458832,0.071739,5.055441,-0.027226,0.101677,0.025954,-45.045440,-52.263057,53.668373,0
15,22-3-2023 20:36:23:835252,paved,sudden-acc,0.261952,-3.587908,-4.064933,-0.077561,0.000742,0.003583,-51.480506,-53.800205,54.835075,0
16,22-3-2023 20:36:23:875223,paved,sudden-acc,-1.050539,-3.492105,3.637567,0.050273,0.033766,0.021426,-51.480506,-53.800205,54.835075,0
17,22-3-2023 20:36:23:923262,paved,sudden-acc,-0.293701,1.489612,-8.385615,-0.024030,-0.040538,0.023557,-53.625534,-53.800205,54.835075,0
18,22-3-2023 20:36:23:971256,paved,sudden-acc,0.673902,2.035685,3.302259,0.015385,0.083301,0.042998,-53.625534,-53.800205,54.835075,0
19,22-3-2023 20:36:24:11253,paved,sudden-acc,-0.015874,-1.422776,0.159945,-0.036814,0.137897,0.031014,-51.480506,-52.263057,54.835075,0
20,22-3-2023 20:36:24:59234,paved,sudden-acc,0.223631,-1.518579,-6.977321,-0.116177,0.040157,0.034742,-51.480506,-52.263057,54.835075,0
21,22-3-2023 20:36:24:107191,paved,sudden-acc,-1.108020,-1.432357,-1.219606,-0.158256,0.047348,0.008110,-53.625534,-52.263057,56.001781,0
22,22-3-2023 20:36:24:147236,paved,sudden-acc,0.990049,0.636972,0.188688,-0.118308,0.002606,0.003317,-53.625534,-52.263057,56.001781,0
23,22-3-2023 20:36:24:195183,paved,sudden-acc,0.712223,-2.668206,4.509369,-0.047467,0.036429,0.014502,-51.480506,-53.800205,57.168483,0
24,22-3-2023 20:36:24:235199,paved,sudden-acc,-1.050539,-1.643121,-1.813580,-0.071968,0.168790,0.019562,-51.480506,-53.800205,57.168483,0
25,22-3-2023 20:36:24:283171,paved,sudden-acc,1.957652,-1.202431,2.660385,-0.022699,-0.020297,0.031813,-49.335487,-52.263057,56.001781,0
26,22-3-2023 20:36:24:331174,paved,sudden-acc,-2.085203,-3.386722,1.242510,0.103004,0.096084,0.027285,-49.335487,-52.263057,56.001781,0
27,22-3-2023 20:36:24:371173,paved,sudden-acc,-0.217059,2.026104,-3.710465,0.056931,0.093688,0.034742,-51.480506,-53.800205,54.835075,0
28,22-3-2023 20:36:24:419161,paved,sudden-acc,1.449900,1.633315,3.129816,0.035093,0.091557,0.043265,-51.480506,-53.800205,54.835075,0
29,22-3-2023 20:36:24:467208,paved,sudden-acc,-1.567871,-0.733000,-0.453188,-0.087148,0.134967,0.022492,-53.625534,-53.800205,54.835075,0
30,22-3-2023 20:36:24:507149,paved,sudden-acc,3.212661,-1.461097,-2.809923,-0.219776,0.013259,0.005181,-53.625534,-53.800205,54.835075,0
31,22-3-2023 20:36:24:555135,paved,sudden-acc,-2.564214,-2.687366,1.309574,-0.115112,0.095552,0.021693,-49.335487,-53.800205,52.501670,0
32,22-3-2023 20:36:24:603129,paved,sudden-acc,-0.475725,0.186701,-5.933077,-0.102595,-0.002454,0.023823,-49.335487,-53.800205,52.501670,0
33,22-3-2023 20:36:24:651184,paved,sudden-acc,2.072615,1.336328,3.704630,-0.029357,-0.047462,0.028617,-53.625534,-49.188758,53.668373,0
34,22-3-2023 20:36:24:691176,paved,sudden-acc,-0.581108,-2.064651,8.849209,0.089688,0.105139,0.020894,-53.625534,-49.188758,53.668373,0
35,22-3-2023 20:36:24:739120,paved,sudden-acc,0.683482,-2.524502,-9.295737,-0.084751,0.140560,0.028084,-47.190467,-53.800205,53.668373,0
36,22-3-2023 20:36:24:787129,paved,sudden-acc,2.973156,1.441711,-5.588188,-0.113248,-0.176627,0.024090,-47.190467,-53.800205,53.668373,0
37,22-3-2023 20:36:24:827151,paved,sudden-acc,-2.200166,-1.125789,0.667698,-0.037613,0.010329,0.011573,-51.480506,-55.337356,54.835075,0
38,22-3-2023 20:36:24:875124,paved,sudden-acc,0.309853,-0.570136,-1.871061,-0.045602,0.089959,0.017698,-51.480506,-55.337356,54.835075,0
39,22-3-2023 20:36:24:923094,paved,sudden-acc,0.108668,2.591338,5.917662,0.010591,0.027108,0.029682,-49.335487,-52.263057,53.668373,0
40,22-3-2023 20:36:24:963133,paved,sudden-acc,0.309853,-4.469288,-2.752441,-0.005654,0.057202,0.024356,-49.335487,-52.263057,53.668373,0
41,22-3-2023 20:36:25:11088,paved,sudden-acc,-1.951080,-0.004903,3.829172,0.027369,0.077442,0.040335,-53.625534,-50.725906,56.001781,0
42,22-3-2023 20:36:25:51099,paved,sudden-acc,-1.855278,-0.857543,0.888042,0.005265,0.089426,0.045129,-53.625534,-50.725906,56.001781,0
43,22-3-2023 20:36:25:99085,paved,sudden-acc,-0.945156,1.001020,-4.026612,-0.025096,0.048147,0.048857,-53.625534,-50.725906,53.668373,0
44,22-3-2023 20:36:25:147109,paved,sudden-acc,0.606840,-0.838383,0.993425,-0.073832,-0.010444,0.015035,-53.625534,-50.725906,53.668373,0
45,22-3-2023 20:36:25:195098,paved,sudden-acc,-2.401350,-2.371219,0.351551,-0.050130,-0.064773,0.038471,-51.480506,-53.800205,56.001781,0
46,22-3-2023 20:36:25:235053,paved,sudden-acc,-1.893598,0.493269,-3.269775,-0.088746,-0.045332,0.022492,-51.480506,-53.800205,56.001781,0
47,22-3-2023 20:36:25:283044,paved,sudden-acc,0.175730,-1.269493,-0.338226,-0.054125,-0.030950,0.010507,-53.625534,-52.263057,54.835075,0
48,22-3-2023 20:36:25:331039,paved,sudden-acc,-1.376266,-1.106629,0.274908,0.027902,-0.021895,0.033943,-53.625534,-52.263057,54.835075,0
49,22-3-2023 20:36:25:371033,paved,sudden-acc,0.769704,0.943539,-2.244690,-0.041341,0.059865,0.020894,-55.770553,-50.725906,54.835075,0
50,22-3-2023 20:36:25:419032,paved,sudden-acc,0.520618,-0.943765,2.018509,-0.025895,-0.087943,0.028351,-55.770553,-50.725906,54.835075,0
51,22-3-2023 20:36:25:466817,paved,sudden-acc,-1.855278,-2.898131,1.568239,0.011657,-0.004851,0.035808,-51.480506,-53.800205,51.334960,0
52,22-3-2023 20:36:25:512038,paved,sudden-acc,-1.079279,-1.480258,0.466513,-0.046934,0.091557,0.041400,-51.480506,-53.800205,51.334960,0
53,22-3-2023 20:36:25:552044,paved,sudden-acc,1.861849,-1.125789,3.120235,0.023108,-0.043467,0.025954,-51.480506,-52.263057,53.668373,0
54,22-3-2023 20:36:25:600075,paved,sudden-acc,-1.012218,-1.077888,-2.886566,0.003401,0.046549,0.020894,-51.480506,-52.263057,53.668373,0
55,22-3-2023 20:36:25:640063,paved,sudden-acc,0.731383,-1.384455,0.227009,-0.049597,0.047614,0.019562,-53.625534,-52.263057,54.835075,0
56,22-3-2023 20:36:25:688017,paved,sudden-acc,-3.407274,1.115983,3.455543,-0.075963,0.058001,0.025687,-53.625534,-52.263057,54.835075,0
57,22-3-2023 20:36:25:736012,paved,sudden-acc,-1.701994,-1.920948,-4.486464,-0.121770,-0.015504,0.026753,-51.480506,-56.874504,53.668373,0
58,22-3-2023 20:36:25:776005,paved,sudden-acc,0.405655,-1.595221,2.583742,-0.020036,-0.095133,0.017964,-51.480506,-56.874504,53.668373,0
59,22-3-2023 20:36:25:824002,paved,sudden-acc,0.367335,-3.348402,0.686859,0.015385,-0.025624,0.005713,-55.770553,-53.800205,52.501670,0
60,22-3-2023 20:36:25:872042,paved,sudden-acc,0.961308,-1.116209,-1.928543,-0.017905,-0.074627,0.026220,-55.770553,-53.800205,52.501670,0
61,22-3-2023 20:36:25:920027,paved,sudden-acc,-0.743972,-1.796405,-1.324989,0.002069,-0.008313,0.013437,-51.480506,-50.725906,53.668373,0
62,22-3-2023 20:36:25:959984,paved,sudden-acc,-1.213402,-0.522235,-2.991947,-0.025096,0.026841,0.018497,-51.480506,-50.725906,53.668373,0
63,22-3-2023 20:36:26:7985,paved,sudden-acc,2.925254,-1.279073,1.405375,-0.034949,0.044152,0.016633,-53.625534,-50.725906,54.835075,0
64,22-3-2023 20:36:26:55981,paved,sudden-acc,-2.334289,0.589071,3.627987,0.038022,0.049745,0.011306,-53.625534,-50.725906,54.835075,0
65,22-3-2023 20:36:26:95984,paved,sudden-acc,-0.063776,-0.455174,-2.263851,0.019646,-0.048261,0.012371,-53.625534,-50.725906,54.835075,0
66,22-3-2023 20:36:26:143980,paved,sudden-acc,0.740963,-1.384455,-0.357386,-0.051994,0.032700,0.007844,-53.625534,-50.725906,54.835075,0
67,22-3-2023 20:36:26:191967,paved,sudden-acc,-2.947423,-1.413196,0.456932,-0.067441,0.051076,0.027285,-51.480506,-50.725906,56.001781,0
68,22-3-2023 20:36:26:231957,paved,sudden-acc,2.637848,-4.363905,-8.567639,-0.096469,-0.031483,0.012904,-51.480506,-50.725906,56.001781,0
69,22-3-2023 20:36:26:279943,paved,sudden-acc,-1.481649,0.225022,2.861568,-0.061848,-0.000057,0.003583,-47.190467,-53.800205,54.835075,0
70,22-3-2023 20:36:26:319954,paved,sudden-acc,-2.640856,-2.936452,1.788584,0.001536,0.059332,0.000387,-47.190467,-53.800205,54.835075,0
71,22-3-2023 20:36:26:367933,paved,sudden-acc,-0.772712,-0.723420,-4.084094,-0.062913,0.039625,-0.004673,-47.190467,-53.800205,56.001781,0
72,22-3-2023 20:36:26:415927,paved,sudden-acc,0.242792,-1.920948,-2.896145,0.004999,-0.010444,0.024090,-47.190467,-53.800205,56.001781,0
73,22-3-2023 20:36:26:455921,paved,sudden-acc,2.446243,3.223633,-0.750175,-0.057853,-0.070632,0.015035,-51.480506,-52.263057,56.001781,0
74,22-3-2023 20:36:26:503917,paved,sudden-acc,-0.312861,1.096823,2.382559,0.010858,0.047082,0.016100,-51.480506,-52.263057,56.001781,0
75,22-3-2023 20:36:26:551906,paved,sudden-acc,-2.066042,0.330405,0.054564,0.019646,0.043353,0.027285,-47.190467,-50.725906,56.001781,0
76,22-3-2023 20:36:26:599903,paved,sudden-acc,0.654741,-1.623961,-3.260195,-0.133222,0.198085,-0.001211,-47.190467,-50.725906,56.001781,0
77,22-3-2023 20:36:26:639899,paved,sudden-acc,-1.261304,-2.687366,-0.817238,-0.072767,0.007666,0.016366,-53.625534,-49.188758,54.835075,0
78,22-3-2023 20:36:26:687895,paved,sudden-acc,1.363678,-1.097049,-6.766557,-0.033884,-0.171834,0.011839,-53.625534,-49.188758,54.835075,0
79,22-3-2023 20:36:26:735885,paved,sudden-acc,0.060767,-1.547319,-2.953627,-0.002991,0.027906,-0.001743,-49.335487,-52.263057,53.668373,0
80,22-3-2023 20:36:26:775880,paved,sudden-acc,-1.577451,-0.675519,5.448231,0.073975,-0.000323,0.018497,-49.335487,-52.263057,53.668373,0
81,22-3-2023 20:36:26:823877,paved,sudden-acc,-0.858934,-1.489838,-1.813580,-0.071169,0.105672,-0.001211,-53.625534,-52.263057,53.668373,0
82,22-3-2023 20:36:26:871869,paved,sudden-acc,1.191234,0.263343,-5.655251,-0.200068,-0.053588,0.006779,-53.625534,-52.263057,53.668373,0
83,22-3-2023 20:36:26:911865,paved,sudden-acc,-1.318785,-0.033644,1.424536,-0.096736,-0.058115,0.004648,-53.625534,-52.263057,54.835075,0
84,22-3-2023 20:36:26:959870,paved,sudden-acc,0.702642,-2.246676,-1.238768,-0.078626,0.142957,-0.005472,-53.625534,-52.263057,54.835075,0
85,22-3-2023 20:36:26:999881,paved,sudden-acc,-4.786827,-0.550976,5.007540,0.040419,0.094487,-0.006537,-49.335487,-52.263057,53.668373,0
86,22-3-2023 20:36:27:47867,paved,sudden-acc,-1.136761,-7.985230,1.616140,-0.013111,0.133369,0.021693,-49.335487,-52.263057,53.668373,0
87,22-3-2023 20:36:27:95850,paved,sudden-acc,0.760124,-4.498029,1.644880,-0.069837,-0.081551,0.020894,-47.190467,-53.800205,52.501670,0
88,22-3-2023 20:36:27:135852,paved,sudden-acc,-1.337945,-4.066918,-1.095064,0.061458,0.064659,0.033943,-47.190467,-53.800205,52.501670,0
89,22-3-2023 20:36:27:183879,paved,sudden-acc,0.146989,-2.792748,-2.330914,-0.079691,0.081437,0.013703,-53.625534,-52.263057,53.668373,0
90,22-3-2023 20:36:27:231872,paved,sudden-acc,0.319433,-2.323318,-0.319065,0.072111,0.046016,0.028084,-53.625534,-52.263057,53.668373,0
91,22-3-2023 20:36:27:279866,paved,sudden-acc,0.434396,-1.422776,1.999348,0.014320,0.011927,0.004116,-49.335487,-50.725906,54.835075,0
92,22-3-2023 20:36:27:319814,paved,sudden-acc,-0.772712,-2.016751,3.704630,-0.005388,-0.066105,0.007578,-49.335487,-50.725906,54.835075,0
93,22-3-2023 20:36:27:367816,paved,sudden-acc,-2.650436,-3.108896,-3.863749,-0.066375,0.047348,0.013969,-53.625534,-53.800205,53.668373,0
94,22-3-2023 20:36:27:415809,paved,sudden-acc,-2.228906,-4.536349,-0.510670,-0.053326,-0.014705,0.021959,-53.625534,-53.800205,53.668373,0
95,22-3-2023 20:36:27:455802,paved,sudden-acc,-0.035035,0.100479,-1.736938,-0.005654,-0.173432,0.037139,-51.480506,-50.725906,57.168483,0
96,22-3-2023 20:36:27:503838,paved,sudden-acc,0.501458,0.847737,-4.074512,0.011124,-0.217641,0.016100,-51.480506,-50.725906,57.168483,0
97,22-3-2023 20:36:27:551788,paved,sudden-acc,0.817605,-1.106629,3.704630,0.087558,0.002606,0.002784,-51.480506,-49.188758,54.835075,0
98,22-3-2023 20:36:27:591786,paved,sudden-acc,-1.261304,1.250106,-2.934467,-0.123634,0.129374,-0.002542,-51.480506,-49.188758,54.835075,0
99,22-3-2023 20:36:27:639780,paved,sudden-acc,0.032027,-3.425043,-1.162125,-0.128428,-0.013639,0.025155,-53.625534,-55.337356,52.501670,0
100,22-3-2023 20:36:27:679781,paved,sudden-acc,0.654741,-1.269493,0.150366,-0.029357,-0.129222,0.022225,-53.625534,-55.337356,52.501670,0
101,22-3-2023 20:36:27:727778,paved,sudden-acc,-0.686490,1.959043,3.972876,-0.000062,-0.109248,0.012904,-53.625534,-49.188758,57.168483,0
102,22-3-2023 20:36:27:775760,paved,sudden-acc,0.558939,1.345908,0.044983,0.023641,0.022314,0.020095,-53.625534,-49.188758,57.168483,0
103,22-3-2023 20:36:27:823748,paved,sudden-acc,0.194890,1.796179,-1.085484,-0.029090,0.172252,0.011306,-47.190467,-53.800205,53.668373,0
104,22-3-2023 20:36:27:863805,paved,sudden-acc,0.434396,-2.352058,-3.116491,-0.073300,0.039891,0.024090,-47.190467,-53.800205,53.668373,0
105,22-3-2023 20:36:27:911753,paved,sudden-acc,-0.772712,-2.687366,-1.401630,-0.050130,-0.020830,0.021959,-49.335487,-53.800205,56.001781,0
106,22-3-2023 20:36:27:959791,paved,sudden-acc,3.088119,-1.997590,-4.591845,0.003134,0.006335,0.014236,-49.335487,-53.800205,56.001781,0
107,22-3-2023 20:36:27:999731,paved,sudden-acc,-1.213402,2.830843,3.359741,0.036691,-0.030684,0.027019,-47.190467,-50.725906,53.668373,0
108,22-3-2023 20:36:28:47721,paved,sudden-acc,-1.778636,-0.713840,-1.152544,-0.062114,0.079040,0.015035,-47.190467,-50.725906,53.668373,0
109,22-3-2023 20:36:28:95716,paved,sudden-acc,-0.897255,-1.853887,0.907204,-0.081555,0.085964,0.013437,-49.335487,-52.263057,54.835075,0
110,22-3-2023 20:36:28:135723,paved,sudden-acc,-1.826537,-3.884894,-0.932199,-0.113780,0.077176,0.006246,-49.335487,-52.263057,54.835075,0
111,22-3-2023 20:36:28:183757,paved,sudden-acc,-0.054195,-5.638075,-3.672144,-0.122569,-0.041070,0.009975,-53.625534,-53.800205,53.668373,0
112,22-3-2023 20:36:28:231696,paved,sudden-acc,-0.121257,-0.780901,7.172670,0.025239,-0.015237,0.027285,-53.625534,-53.800205,53.668373,0
113,22-3-2023 20:36:28:271702,paved,sudden-acc,-0.245800,0.234602,-0.252005,-0.085550,0.024977,0.029949,-53.625534,-50.725906,56.001781,0
114,22-3-2023 20:36:28:319693,paved,sudden-acc,1.105012,-1.451517,-3.442219,-0.042406,-0.033880,0.039802,-53.625534,-50.725906,56.001781,0
115,22-3-2023 20:36:28:359697,paved,sudden-acc,-0.590688,-3.645388,0.725180,-0.081555,0.101411,0.006779,-53.625534,-50.725906,54.835075,0
116,22-3-2023 20:36:28:407712,paved,sudden-acc,-0.734391,-2.332898,-1.507013,-0.046668,0.029238,0.020095,-53.625534,-50.725906,54.835075,0
117,22-3-2023 20:36:28:455681,paved,sudden-acc,-0.054195,0.675293,-0.999260,0.047876,-0.068501,0.014236,-51.480506,-52.263057,57.168483,0
118,22-3-2023 20:36:28:499804,paved,sudden-acc,0.415236,-0.119866,-4.294858,-0.003524,-0.040271,0.014236,-51.480506,-52.263057,57.168483,0
119,22-3-2023 20:36:28:547797,paved,sudden-acc,-0.207479,-3.415463,3.790852,0.097145,0.002340,0.036607,-49.335487,-53.800205,56.001781,0
