sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,20-2-2023_15:1:35:121394,paved,sudden-brake,0.31830289,-0.21289169,-0.70393943,-0.00442358,-0.01163420,-0.00918165,-100.54786682,95.91808319,97.23068237,0
2,20-2-2023_15:1:35:472635,paved,sudden-brake,-0.42895464,0.37150204,0.52232933,-0.04676848,-0.01829220,-0.01024693,-100.54786682,95.91808319,97.23068237,0
3,20-2-2023_15:1:35:486379,paved,sudden-brake,0.18417978,-1.17091405,-2.55292320,-0.07020466,0.00194813,-0.01317646,-102.15663146,81.16145324,92.11327362,0
4,20-2-2023_15:1:35:494377,paved,sudden-brake,-0.84090433,0.46730427,-2.63914489,-0.06514458,0.01047038,-0.02356294,-102.15663146,81.16145324,92.11327362,0
5,20-2-2023_15:1:35:526379,paved,sudden-brake,-0.89838562,0.23737888,-1.31707382,-0.04357264,-0.00391091,-0.01717126,-102.15663146,95.91808319,100.64228820,0
6,20-2-2023_15:1:35:534372,paved,sudden-brake,-1.32949590,-1.26671636,0.75225448,-0.05901921,-0.01323212,-0.00998061,-102.15663146,95.91808319,100.64228820,0
7,20-2-2023_15:1:35:542374,paved,sudden-brake,-0.66846017,-0.76854467,-0.96260643,-0.03718096,-0.00337827,-0.01077957,-99.74348449,81.16145324,97.23068237,0
8,20-2-2023_15:1:35:550371,paved,sudden-brake,-1.52110028,1.15708041,1.06840133,-0.02493023,0.01739470,-0.01797022,-99.74348449,81.16145324,97.23068237,0
9,20-2-2023_15:1:35:550371,paved,sudden-brake,-1.14747142,0.07451505,0.40736579,-0.02732711,-0.01163420,-0.02489454,-99.74348449,88.53976440,95.52487945,0
10,20-2-2023_15:1:35:590414,paved,sudden-brake,-0.41937441,0.38108224,1.39412879,-0.02093543,-0.00071507,-0.02516086,-99.74348449,88.53976440,95.52487945,0
11,20-2-2023_15:1:35:646372,paved,sudden-brake,-0.40979413,0.34276132,0.05289841,-0.01054894,0.02804751,-0.00358893,-102.96101379,73.78313446,97.23068237,0
