sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 19:22:7:16849,paved,sudden-left-line-chg,2.560158,-1.44272,-3.021652,-0.041569,0.014035,-0.001927,-34.070732,-42.593616,30.94857,0
2,22-3-2023 19:22:7:348699,paved,sudden-left-line-chg,0.222583,-2.860594,0.216465,-0.054885,0.038803,-0.014178,-34.070732,-42.593616,30.94857,0
3,22-3-2023 19:22:7:360083,paved,sudden-left-line-chg,-0.419292,1.115199,0.484709,-0.087643,0.026019,-0.01258,-29.811891,-36.718639,32.824245,0
4,22-3-2023 19:22:7:368083,paved,sudden-left-line-chg,-0.170206,-0.503858,0.312265,-0.087909,-0.007271,-0.00752,-29.811891,-36.718639,32.824245,0
5,22-3-2023 19:22:7:400079,paved,sudden-left-line-chg,-0.083984,-2.755211,0.08234,-0.047428,0.037471,-0.004058,-25.553047,-41.12487,32.824245,0
6,22-3-2023 19:22:7:400079,paved,sudden-left-line-chg,0.548311,-1.969633,1.270288,-0.01547,-0.033636,0.015383,-25.553047,-41.12487,32.824245,0
7,22-3-2023 19:22:7:408075,paved,sudden-left-line-chg,0.998581,-1.251116,-1.958248,-0.043966,0.011372,-0.001395,-34.070732,-39.656127,32.824245,0
8,22-3-2023 19:22:7:408075,paved,sudden-left-line-chg,0.030979,-1.126573,-1.115189,-0.031449,-0.007271,-0.007254,-34.070732,-39.656127,32.824245,0
9,22-3-2023 19:22:7:416075,paved,sudden-left-line-chg,-1.243191,-0.388896,-1.19183,-0.085246,0.037737,-0.015776,-29.811891,-41.12487,34.699913,0
10,22-3-2023 19:22:7:424084,paved,sudden-left-line-chg,-0.409712,-2.26662,-1.967827,-0.111345,-0.044023,-0.013646,-29.811891,-41.12487,34.699913,0
11,22-3-2023 19:22:7:464072,paved,sudden-left-line-chg,-0.668378,-0.848747,-1.862446,-0.057016,-0.010999,0.002334,-34.070732,-44.062362,31.886407,0
12,22-3-2023 19:22:7:512065,paved,sudden-left-line-chg,-1.425215,-1.097832,0.513451,-0.078321,-0.008869,0.004997,-34.070732,-44.062362,31.886407,0
13,22-3-2023 19:22:7:560060,paved,sudden-left-line-chg,1.400951,-1.040351,-0.463734,-0.075658,-0.038164,0.003133,-25.553047,-39.656127,31.886407,0
14,22-3-2023 19:22:7:600051,paved,sudden-left-line-chg,0.07888,0.482905,2.151669,-0.042634,0.059043,-0.002993,-25.553047,-39.656127,31.886407,0
15,22-3-2023 19:22:7:648049,paved,sudden-left-line-chg,-1.6264,0.109276,1.931324,-0.074326,0.068364,-0.011515,-29.811891,-41.12487,30.94857,0
16,22-3-2023 19:22:7:696068,paved,sudden-left-line-chg,-1.214451,-2.237879,0.08234,-0.067136,0.008176,-0.017108,-29.811891,-41.12487,30.94857,0
17,22-3-2023 19:22:7:736086,paved,sudden-left-line-chg,-0.103144,-2.046275,-1.795383,-0.054086,-0.024848,-0.009917,-25.553047,-39.656127,31.886407,0
18,22-3-2023 19:22:7:784033,paved,sudden-left-line-chg,0.021398,0.406263,-0.329609,-0.073794,0.000186,-0.008319,-25.553047,-39.656127,31.886407,0
19,22-3-2023 19:22:7:832025,paved,sudden-left-line-chg,0.174682,-0.695463,-2.08279,-0.077789,0.017497,-0.001927,-34.070732,-41.12487,32.824245,0
20,22-3-2023 19:22:7:872035,paved,sudden-left-line-chg,1.582975,-2.994717,-1.594198,-0.042901,-0.104478,-0.000862,-34.070732,-41.12487,32.824245,0
21,22-3-2023 19:22:7:920041,paved,sudden-left-line-chg,1.669197,-2.122917,-3.012072,-0.029052,-0.005406,-0.019505,-25.553047,-36.718639,32.824245,0
22,22-3-2023 19:22:7:960018,paved,sudden-left-line-chg,-2.411979,2.159444,0.743376,-0.029585,0.037737,-0.01258,-25.553047,-36.718639,32.824245,0
23,22-3-2023 19:22:8:8007,paved,sudden-left-line-chg,0.557891,-0.55176,-0.118845,-0.102556,-0.000346,-0.005922,-42.588417,-41.12487,34.699913,0
24,22-3-2023 19:22:8:55999,paved,sudden-left-line-chg,-0.601316,-0.57092,0.254784,-0.088175,-0.007004,0.012454,-42.588417,-41.12487,34.699913,0
25,22-3-2023 19:22:8:95992,paved,sudden-left-line-chg,1.027322,-1.557683,-0.684076,-0.11534,0.006045,-0.00246,-25.553047,-41.12487,32.824245,0
26,22-3-2023 19:22:8:143993,paved,sudden-left-line-chg,-1.434796,0.128436,0.379328,-0.055418,-0.017924,-0.000063,-25.553047,-41.12487,32.824245,0
27,22-3-2023 19:22:8:191985,paved,sudden-left-line-chg,-0.103144,-2.467805,-0.051783,-0.031183,0.001518,-0.004591,-29.811891,-41.12487,31.886407,0
28,22-3-2023 19:22:8:231979,paved,sudden-left-line-chg,-0.045663,-0.494278,-1.16309,-0.070864,-0.042425,-0.020304,-29.811891,-41.12487,31.886407,0
29,22-3-2023 19:22:8:279973,paved,sudden-left-line-chg,-0.476773,-0.120649,-4.937697,-0.109214,0.022025,-0.028826,-29.811891,-44.062362,33.762077,0
30,22-3-2023 19:22:8:327968,paved,sudden-left-line-chg,-0.419292,-0.877487,0.015278,-0.161413,-0.062665,-0.005123,-29.811891,-44.062362,33.762077,0
31,22-3-2023 19:22:8:375956,paved,sudden-left-line-chg,-1.386895,0.904435,-1.862446,-0.157685,-0.016592,-0.000862,-25.553047,-39.656127,33.762077,0
32,22-3-2023 19:22:8:415950,paved,sudden-left-line-chg,-1.156969,-1.00203,-0.31045,-0.113209,-0.009668,-0.014977,-25.553047,-39.656127,33.762077,0
