sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 20:14:29:15484,paved,sudden-left-turn,-0.300102,0.343533,1.066278,-0.007702,0.002823,0.035219,-94.219047,88.409545,88.859603,0
2,22-3-2023 20:14:29:402349,paved,sudden-left-turn,-0.654571,0.812964,2.675756,-0.010098,-0.026206,0.034154,-94.219047,88.409545,88.859603,0
3,22-3-2023 20:14:29:410487,paved,sudden-left-turn,0.341773,0.793804,-0.753963,-0.015425,-0.020081,0.031224,-93.276855,88.409545,88.859603,0
4,22-3-2023 20:14:29:418487,paved,sudden-left-turn,-0.079757,-1.026439,0.395664,-0.016490,-0.025940,0.029893,-93.276855,88.409545,88.859603,0
5,22-3-2023 20:14:29:450482,paved,sudden-left-turn,-0.127658,0.611780,0.223219,-0.014360,-0.020347,0.032556,-90.450279,82.515586,85.305213,0
6,22-3-2023 20:14:29:458482,paved,sudden-left-turn,0.035205,-0.480366,-1.750307,-0.020219,-0.028337,0.027762,-90.450279,82.515586,85.305213,0
7,22-3-2023 20:14:29:466484,paved,sudden-left-turn,-0.146819,-0.489946,-1.625765,-0.027942,-0.021679,0.031491,-94.219047,88.409545,88.859603,0
8,22-3-2023 20:14:29:466484,paved,sudden-left-turn,-0.319263,-0.844414,-0.571939,-0.023947,-0.017417,0.032556,-94.219047,88.409545,88.859603,0
9,22-3-2023 20:14:29:474479,paved,sudden-left-turn,0.121427,-1.026439,-1.616184,-0.029273,-0.024874,0.027496,-95.161231,85.462570,88.859603,0
10,22-3-2023 20:14:29:482478,paved,sudden-left-turn,0.360933,-1.409648,-2.612528,-0.032736,-0.027804,0.030958,-95.161231,85.462570,88.859603,0
11,22-3-2023 20:14:29:490479,paved,sudden-left-turn,0.456735,-1.687474,-3.149019,-0.036464,-0.022477,0.033621,-93.276855,88.409545,88.859603,0
12,22-3-2023 20:14:29:514474,paved,sudden-left-turn,0.686661,-0.825254,-3.254402,-0.033801,-0.034196,0.026963,-93.276855,88.409545,88.859603,0
13,22-3-2023 20:14:29:562478,paved,sudden-left-turn,0.303452,-2.080263,-2.602947,-0.048715,-0.027271,0.031491,-93.276855,79.568595,87.082420,0
14,22-3-2023 20:14:29:602466,paved,sudden-left-turn,-0.376744,-1.562931,-2.497564,-0.040459,-0.021679,0.026431,-93.276855,79.568595,87.082420,0
15,22-3-2023 20:14:29:658459,paved,sudden-left-turn,0.255551,-1.601252,-3.254402,-0.040725,-0.029934,0.026963,-94.219047,88.409545,92.413993,0
16,22-3-2023 20:14:29:703516,paved,sudden-left-turn,0.380094,-1.850338,-4.269906,-0.084135,0.021199,0.024300,-94.219047,88.409545,92.413993,0
17,22-3-2023 20:14:29:743531,paved,sudden-left-turn,-0.530028,-1.294685,-2.497564,-0.072151,0.006019,0.028028,-95.161231,85.462570,92.413993,0
18,22-3-2023 20:14:29:791533,paved,sudden-left-turn,-0.204300,-1.629993,-2.832872,-0.062564,0.018536,0.028295,-95.161231,85.462570,92.413993,0
19,22-3-2023 20:14:29:831568,paved,sudden-left-turn,0.102267,-2.137745,-4.231585,-0.070020,0.035314,0.025365,-94.219047,88.409545,88.859603,0
20,22-3-2023 20:14:29:879565,paved,sudden-left-turn,-0.884496,-0.719871,-1.079693,-0.057770,0.011878,0.030692,-94.219047,88.409545,88.859603,0
21,22-3-2023 20:14:29:927533,paved,sudden-left-turn,-0.616250,0.295632,-0.619841,-0.048981,0.029455,0.031224,-94.219047,91.356536,88.859603,0
22,22-3-2023 20:14:29:967503,paved,sudden-left-turn,-0.922817,-0.739032,-1.989813,-0.069754,0.042505,0.026963,-94.219047,91.356536,88.859603,0
23,22-3-2023 20:14:30:15507,paved,sudden-left-turn,-0.759953,-0.394144,-1.846109,-0.059634,0.019867,0.031757,-92.334663,88.409545,88.859603,0
24,22-3-2023 20:14:30:63491,paved,sudden-left-turn,-1.210224,-0.365403,-0.734804,-0.043388,0.021732,0.029360,-92.334663,88.409545,88.859603,0
25,22-3-2023 20:14:30:103491,paved,sudden-left-turn,-0.951558,-0.691131,-0.140831,-0.051112,0.030254,0.030958,-95.161231,88.409545,88.859603,0
26,22-3-2023 20:14:30:151477,paved,sudden-left-turn,-0.807854,-1.083920,-0.485718,-0.045253,0.018536,0.034953,-95.161231,88.409545,88.859603,0
