sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,20-2-2023_15:16:49:685413,paved,sudden-line-right,-0.78911356,-0.98106298,-3.27440834,-0.03499953,-0.00570724,0.01759151,-27.02726745,-51.70825195,50.01788711,0
2,20-2-2023_15:16:50:64921,paved,sudden-line-right,1.11735117,1.14574694,0.30859565,-0.04192385,-0.00304404,0.00747135,-27.02726745,-51.70825195,50.01788711,0
3,20-2-2023_15:16:50:69257,paved,sudden-line-right,-1.73755598,-2.23607254,-0.27579879,-0.04005961,-0.01822429,0.01972207,-20.27045249,-49.18589782,49.05600357,0
4,20-2-2023_15:16:50:72780,paved,sudden-line-right,-3.22249078,-2.59054064,-2.17268180,-0.06962115,0.02385430,0.01652623,-20.27045249,-49.18589782,49.05600357,0
5,20-2-2023_15:16:50:96778,paved,sudden-line-right,-0.36758370,-0.69365615,2.40666580,0.03397739,0.00734245,0.02025471,-33.78408432,-51.70825195,48.09412002,0
6,20-2-2023_15:16:50:112771,paved,sudden-line-right,-0.30052213,0.34100806,-5.19045448,-0.02834152,-0.01875693,0.01998839,-33.78408432,-51.70825195,48.09412002,0
7,20-2-2023_15:16:50:128767,paved,sudden-line-right,-1.72797560,0.42723007,-3.20734786,-0.09012781,0.04675783,0.02238528,-20.27045249,-50.44707489,49.05600357,0
8,20-2-2023_15:16:50:144767,paved,sudden-line-right,-2.43691229,-1.68041920,-0.10335541,-0.06509371,0.01000565,0.02824432,-20.27045249,-50.44707489,49.05600357,0
9,20-2-2023_15:16:50:168760,paved,sudden-line-right,-0.39632434,-0.22422516,-3.03490447,-0.07095275,0.00361396,-0.00158354,-27.02726745,-50.44707489,49.05600357,0
10,20-2-2023_15:16:50:184760,paved,sudden-line-right,0.89700593,-1.34511137,-4.51983833,-0.03952697,0.00680981,0.00107966,-27.02726745,-50.44707489,49.05600357,0
11,20-2-2023_15:16:50:208759,paved,sudden-line-right,-1.36392712,1.68223953,-0.30453872,-0.01236232,-0.01849061,0.01519463,-20.27045249,-52.96942901,50.01788711,0
12,20-2-2023_15:16:50:256755,paved,sudden-line-right,0.45631561,-1.45049381,-0.92725372,-0.06429475,-0.04645422,0.01519463,-20.27045249,-52.96942901,50.01788711,0
13,20-2-2023_15:16:50:304751,paved,sudden-line-right,-0.91365652,-1.62293791,-1.74157333,-0.08666564,-0.03766566,0.02531480,-33.78408432,-52.96942901,49.05600357,0
14,20-2-2023_15:16:50:360752,paved,sudden-line-right,-1.26812481,-2.79172515,0.38523483,-0.00117687,0.00814141,0.01839047,-33.78408432,-52.96942901,49.05600357,0
15,20-2-2023_15:16:50:408741,paved,sudden-line-right,-2.65725755,0.60925436,-4.77850341,-0.02274880,0.01559837,0.00480814,-13.51363563,-52.96942901,49.05600357,0
16,20-2-2023_15:16:50:464770,paved,sudden-line-right,-1.64175367,-0.11884273,-0.47698211,0.01959610,0.00467925,0.02851064,-13.51363563,-52.96942901,49.05600357,0
17,20-2-2023_15:16:50:512731,paved,sudden-line-right,-3.69192171,-0.69365615,-1.96191787,-0.05444090,0.00494557,0.04209297,-27.02726745,-54.23060607,50.01788711,0
18,20-2-2023_15:16:50:568759,paved,sudden-line-right,0.45631561,1.62475824,2.07135581,-0.03180369,-0.02142013,-0.00158354,-27.02726745,-54.23060607,50.01788711,0
