sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 20:10:15:758529,paved,sudden-right-turn,-0.305762,-0.552396,-0.711155,-0.055587,-0.013587,-0.013360,-97.583145,87.598464,73.594322,0
2,22-3-2023 20:10:16:148971,paved,sudden-right-turn,-0.478207,-1.251752,-1.985323,-0.082752,0.040476,-0.017888,-97.583145,87.598464,73.594322,0
3,22-3-2023 20:10:16:164063,paved,sudden-right-turn,-0.267442,0.290664,0.515114,-0.046266,-0.036491,-0.014958,-95.808906,87.598464,75.583351,0
4,22-3-2023 20:10:16:172060,paved,sudden-right-turn,-0.506947,-2.228935,-1.630856,-0.096601,0.036481,-0.018154,-95.808906,87.598464,75.583351,0
5,22-3-2023 20:10:16:196588,paved,sudden-right-turn,-0.277022,-0.092545,0.668398,-0.077159,0.007718,-0.024280,-96.696014,87.598464,73.594322,0
6,22-3-2023 20:10:16:196588,paved,sudden-right-turn,-0.420725,-0.686519,0.055264,-0.097400,0.018371,-0.015491,-96.696014,87.598464,73.594322,0
7,22-3-2023 20:10:16:204586,paved,sudden-right-turn,-0.027936,-1.385875,-2.809223,-0.080888,0.022099,-0.017888,-97.583145,84.577827,77.572387,0
8,22-3-2023 20:10:16:212587,paved,sudden-right-turn,-0.382404,0.041578,0.706718,-0.054788,-0.026104,-0.013094,-97.583145,84.577827,77.572387,0
9,22-3-2023 20:10:16:212587,paved,sudden-right-turn,-0.535688,-0.820642,-1.573374,-0.091541,0.046068,-0.021616,-97.583145,87.598464,73.594322,0
10,22-3-2023 20:10:16:220583,paved,sudden-right-turn,-0.746453,1.229526,1.559359,-0.050261,-0.024240,-0.016556,-97.583145,87.598464,73.594322,0
11,22-3-2023 20:10:16:228583,paved,sudden-right-turn,-0.344083,-1.472097,-0.960239,-0.078225,0.007718,-0.018421,-97.583145,84.577827,75.583351,0
12,22-3-2023 20:10:16:260631,paved,sudden-right-turn,-0.420725,-0.466174,1.147409,-0.058517,0.015974,-0.014958,-97.583145,84.577827,75.583351,0
13,22-3-2023 20:10:16:300625,paved,sudden-right-turn,-0.890156,0.664293,1.032446,-0.035347,-0.036491,-0.009898,-96.696014,87.598464,75.583351,0
14,22-3-2023 20:10:16:350638,paved,sudden-right-turn,-0.679391,-0.561976,-1.640436,-0.080355,0.048998,-0.016556,-96.696014,87.598464,75.583351,0
15,22-3-2023 20:10:16:390646,paved,sudden-right-turn,-1.235044,0.281084,3.312540,-0.040940,-0.027702,-0.017089,-95.808906,96.660377,75.583351,0
16,22-3-2023 20:10:16:442240,paved,sudden-right-turn,-0.650651,-1.567900,-0.816536,-0.063311,0.010115,-0.020285,-95.808906,96.660377,75.583351,0
17,22-3-2023 20:10:16:490248,paved,sudden-right-turn,-0.679391,-0.696099,0.409731,-0.068371,0.013844,-0.016556,-95.808906,87.598464,75.583351,0
18,22-3-2023 20:10:16:530292,paved,sudden-right-turn,-1.522451,0.261923,1.865927,-0.042005,-0.030898,-0.012029,-95.808906,87.598464,75.583351,0
19,22-3-2023 20:10:16:578285,paved,sudden-right-turn,-0.142899,-1.529579,-2.205669,-0.091274,0.041275,-0.021350,-98.470260,84.577827,75.583351,0
20,22-3-2023 20:10:16:626279,paved,sudden-right-turn,-0.104578,-0.379952,-0.634512,-0.044136,-0.030898,-0.014958,-98.470260,84.577827,75.583351,0
21,22-3-2023 20:10:16:666241,paved,sudden-right-turn,-0.861416,-1.634961,-0.921921,-0.098465,0.036747,-0.016556,-97.583145,81.557197,73.594322,0
22,22-3-2023 20:10:16:714268,paved,sudden-right-turn,-0.468626,0.511009,1.597679,-0.062245,-0.019979,-0.021616,-97.583145,81.557197,73.594322,0
23,22-3-2023 20:10:16:762213,paved,sudden-right-turn,-0.353664,-1.816986,-0.577032,-0.081420,-0.006663,-0.016556,-95.808906,90.619102,77.572387,0
24,22-3-2023 20:10:16:802210,paved,sudden-right-turn,-0.468626,-0.466174,-1.017721,-0.078757,0.026094,-0.019486,-95.808906,90.619102,77.572387,0
25,22-3-2023 20:10:16:850263,paved,sudden-right-turn,-0.880576,0.261923,1.032446,-0.045201,-0.034360,-0.010431,-95.808906,84.577827,75.583351,0
26,22-3-2023 20:10:16:890256,paved,sudden-right-turn,-0.545268,-1.213431,-2.665520,-0.095535,0.049797,-0.018154,-95.808906,84.577827,75.583351,0
27,22-3-2023 20:10:16:938240,paved,sudden-right-turn,-0.478207,0.367306,2.881432,-0.056919,-0.023441,-0.015757,-95.808906,90.619102,79.561424,0
28,22-3-2023 20:10:16:986200,paved,sudden-right-turn,-0.526108,-1.309233,-0.078859,-0.070768,0.015175,-0.015491,-95.808906,90.619102,79.561424,0
29,22-3-2023 20:10:17:26230,paved,sudden-right-turn,-0.861416,-0.054224,0.342670,-0.065441,0.021833,-0.016024,-96.696014,90.619102,73.594322,0
30,22-3-2023 20:10:17:74181,paved,sudden-right-turn,-0.870996,0.817576,0.668398,-0.035613,-0.041018,-0.009099,-96.696014,90.619102,73.594322,0
31,22-3-2023 20:10:17:122178,paved,sudden-right-turn,-0.238701,-3.215698,-3.058310,-0.077426,0.036747,-0.018687,-96.696014,93.639739,77.572387,0
32,22-3-2023 20:10:17:162181,paved,sudden-right-turn,-0.928477,0.328985,1.904247,-0.030553,-0.029034,-0.012029,-96.696014,93.639739,77.572387,0
33,22-3-2023 20:10:17:210171,paved,sudden-right-turn,-0.621910,-1.558319,-0.759054,-0.072099,0.010914,-0.015757,-97.583145,90.619102,77.572387,0
34,22-3-2023 20:10:17:258161,paved,sudden-right-turn,-0.037516,-0.811062,0.198967,-0.042804,-0.028235,-0.017622,-97.583145,90.619102,77.572387,0
35,22-3-2023 20:10:17:306200,paved,sudden-right-turn,-1.282945,-0.150026,1.626419,-0.074230,-0.001337,-0.015757,-96.696014,84.577827,71.605278,0
36,22-3-2023 20:10:17:346154,paved,sudden-right-turn,-0.746453,-0.236248,1.243212,-0.063044,0.018371,-0.013893,-96.696014,84.577827,71.605278,0
37,22-3-2023 20:10:17:394152,paved,sudden-right-turn,-0.813514,-0.379952,0.946224,-0.049196,-0.029833,-0.013360,-96.696014,93.639739,75.583351,0
38,22-3-2023 20:10:17:442137,paved,sudden-right-turn,-0.056677,-1.385875,-1.707499,-0.084616,0.035682,-0.022948,-96.696014,93.639739,75.583351,0
39,22-3-2023 20:10:17:482172,paved,sudden-right-turn,-0.248281,0.175701,0.515114,-0.048130,-0.039687,-0.013627,-95.808906,84.577827,77.572387,0
40,22-3-2023 20:10:17:531740,paved,sudden-right-turn,-0.545268,-1.261332,-2.109867,-0.103259,0.034350,-0.021883,-95.808906,84.577827,77.572387,0
41,22-3-2023 20:10:17:574170,paved,sudden-right-turn,-0.909317,-0.006323,3.073034,-0.048663,-0.022376,-0.018953,-95.808906,90.619102,77.572387,0
42,22-3-2023 20:10:17:622139,paved,sudden-right-turn,-0.430305,-2.372638,-1.075203,-0.097666,-0.000271,-0.020817,-95.808906,90.619102,77.572387,0
43,22-3-2023 20:10:17:662184,paved,sudden-right-turn,-0.756033,0.051158,2.239553,-0.053989,-0.006929,-0.021350,-94.921775,84.577827,69.616249,0
44,22-3-2023 20:10:17:710153,paved,sudden-right-turn,-0.037516,-2.094812,-2.301472,-0.104857,0.012512,-0.026410,-94.921775,84.577827,69.616249,0
45,22-3-2023 20:10:17:758170,paved,sudden-right-turn,-1.024279,-1.299653,1.377335,-0.035613,-0.014653,-0.010165,-95.808906,84.577827,75.583351,0
46,22-3-2023 20:10:17:806164,paved,sudden-right-turn,-0.497367,-0.906864,0.946224,-0.046266,-0.035159,-0.009898,-95.808906,84.577827,75.583351,0
47,22-3-2023 20:10:17:846142,paved,sudden-right-turn,-0.171639,-0.811062,-2.014065,-0.078491,0.035415,-0.010697,-95.808906,78.536560,79.561424,0
48,22-3-2023 20:10:17:894154,paved,sudden-right-turn,0.173249,-2.018170,-2.598457,-0.099796,0.027426,-0.017089,-95.808906,78.536560,79.561424,0
49,22-3-2023 20:10:17:934149,paved,sudden-right-turn,-1.177563,-1.979849,-0.165081,-0.085681,0.010115,-0.018421,-95.808906,87.598464,73.594322,0
50,22-3-2023 20:10:17:985172,paved,sudden-right-turn,-0.928477,-1.682862,-0.691994,-0.069969,0.038345,-0.015491,-95.808906,87.598464,73.594322,0
51,22-3-2023 20:10:18:25179,paved,sudden-right-turn,-0.133318,-1.596640,-2.205669,-0.075029,-0.011723,-0.015225,-96.696014,87.598464,75.583351,0
52,22-3-2023 20:10:18:73182,paved,sudden-right-turn,-0.248281,-0.312890,-1.458412,-0.079822,-0.008794,-0.013360,-96.696014,87.598464,75.583351,0
53,22-3-2023 20:10:18:121216,paved,sudden-right-turn,-0.181220,1.411550,-0.682415,-0.062778,0.038345,-0.014692,-98.470260,81.557197,75.583351,0
54,22-3-2023 20:10:18:161213,paved,sudden-right-turn,0.479816,-0.379952,-0.318365,-0.058517,0.000528,-0.022149,-98.470260,81.557197,75.583351,0
55,22-3-2023 20:10:18:209205,paved,sudden-right-turn,-0.985958,-1.491258,0.869581,-0.054522,-0.004799,-0.010165,-95.808906,90.619102,75.583351,0
56,22-3-2023 20:10:18:257163,paved,sudden-right-turn,0.240310,-0.830222,-3.221174,-0.104058,-0.014120,-0.019752,-95.808906,90.619102,75.583351,0
57,22-3-2023 20:10:18:297145,paved,sudden-right-turn,-0.497367,-1.098469,1.195309,-0.077426,0.009849,-0.013360,-95.808906,87.598464,71.605278,0
58,22-3-2023 20:10:18:345190,paved,sudden-right-turn,-0.708132,0.913379,-1.065622,-0.035347,-0.029034,-0.011763,-95.808906,87.598464,71.605278,0
59,22-3-2023 20:10:18:393137,paved,sudden-right-turn,-0.305762,0.443948,2.143753,-0.032417,0.037546,-0.013094,-96.696014,93.639739,73.594322,0
60,22-3-2023 20:10:18:433136,paved,sudden-right-turn,-1.091341,0.712194,-1.132685,-0.057984,0.068705,-0.014692,-96.696014,93.639739,73.594322,0
61,22-3-2023 20:10:18:481127,paved,sudden-right-turn,-0.363244,1.651056,0.946224,-0.042005,-0.030099,-0.017622,-96.696014,87.598464,77.572387,0
62,22-3-2023 20:10:18:529117,paved,sudden-right-turn,-0.391985,0.817576,0.055264,-0.077426,-0.005332,-0.021084,-96.696014,87.598464,77.572387,0
63,22-3-2023 20:10:18:569116,paved,sudden-right-turn,-1.541611,2.063005,1.003706,-0.056919,0.062047,-0.018154,-95.808906,90.619102,73.594322,0
64,22-3-2023 20:10:18:617104,paved,sudden-right-turn,-0.564428,1.727698,-1.774559,-0.069170,-0.042350,-0.014426,-95.808906,90.619102,73.594322,0
65,22-3-2023 20:10:18:665158,paved,sudden-right-turn,-0.420725,1.852241,2.411997,-0.076094,0.030355,-0.016556,-95.808906,90.619102,77.572387,0
66,22-3-2023 20:10:18:705094,paved,sudden-right-turn,-2.212227,0.185282,1.808443,-0.026825,0.005321,-0.018687,-95.808906,90.619102,77.572387,0
67,22-3-2023 20:10:18:753089,paved,sudden-right-turn,0.566038,1.306168,-1.918262,-0.070768,-0.030099,-0.021084,-95.808906,90.619102,77.572387,0
68,22-3-2023 20:10:18:801142,paved,sudden-right-turn,-0.823095,1.813920,-0.145920,-0.087546,0.051927,-0.025345,-95.808906,90.619102,77.572387,0
69,22-3-2023 20:10:18:841084,paved,sudden-right-turn,-0.459046,0.884638,1.827606,-0.050794,-0.020778,-0.021616,-98.470260,84.577827,75.583351,0
70,22-3-2023 20:10:18:891478,paved,sudden-right-turn,-1.225464,-0.111705,1.377335,-0.032417,0.018105,-0.016823,-98.470260,84.577827,75.583351,0
71,22-3-2023 20:10:18:934091,paved,sudden-right-turn,-0.947637,0.022418,-1.860781,-0.075295,-0.026637,-0.017089,-96.696014,96.660377,69.616249,0
72,22-3-2023 20:10:18:982091,paved,sudden-right-turn,-0.114158,1.325328,-2.684681,-0.090742,0.032220,-0.027742,-96.696014,96.660377,69.616249,0
73,22-3-2023 20:10:19:22092,paved,sudden-right-turn,-0.209960,2.005524,-1.056042,-0.089943,-0.000538,-0.031737,-99.357368,81.557197,77.572387,0
74,22-3-2023 20:10:19:70151,paved,sudden-right-turn,-2.097265,0.942119,3.465822,-0.035880,0.016507,-0.019486,-99.357368,81.557197,77.572387,0
75,22-3-2023 20:10:19:118206,paved,sudden-right-turn,-1.244625,0.214022,1.530619,-0.072099,-0.066319,-0.019752,-95.808906,87.598464,73.594322,0
76,22-3-2023 20:10:19:166150,paved,sudden-right-turn,-0.880576,0.194862,-2.119448,-0.097666,0.072967,-0.028807,-95.808906,87.598464,73.594322,0
77,22-3-2023 20:10:19:206150,paved,sudden-right-turn,-0.305762,0.578071,-1.602116,-0.088078,0.005321,-0.034666,-97.583145,87.598464,79.561424,0
78,22-3-2023 20:10:19:254145,paved,sudden-right-turn,-2.585856,1.057082,3.676590,-0.038543,0.029556,-0.019219,-97.583145,87.598464,79.561424,0
79,22-3-2023 20:10:19:294134,paved,sudden-right-turn,-0.688971,-0.264989,0.246868,-0.040940,-0.008527,-0.018687,-95.808906,81.557197,75.583351,0
